"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","32/686","160/9382",0.2,2.73527696793003,6.21789086557755,1.28862709405585e-07,1.8860814740272e-06,1.34411821293864e-06,"HLA-E/HLA-C/HLA-B/ITGB2/CLDN11/MAG/CNTN2/PTPRC/CD86/CD4/VSIR/HLA-F/HLA-DQB1/ALCAM/HLA-DMB/CD40/ITGAM/HLA-DPB1/PTPRD/ICOSLG/NECTIN1/HLA-DMA/CD22/PECAM1/HLA-DQA1/HLA-DRB5/HLA-DRB1/ITGA4/HLA-DRA/HLA-DPA1/NEO1/JAM3",32
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","36/686","193/9382",0.186528497409326,2.55103551413163,6.11495310785802,1.35649714814389e-07,1.89909600740144e-06,1.35339303567674e-06,"CCL3/CCL4/CCL4L2/CCL3L1/GNG7/CCL20/GRB2/WAS/PREX1/CXCL16/ARRB2/ARRB1/NFKB1/CXCL8/LYN/HCK/NCF1/PRKCB/DOCK2/CXCR4/GNAI1/VAV1/PRKCZ/CCR7/PIK3R5/RAC2/FGR/ADCY5/PLCB2/ELMO1/GRK2/ADCY7/ADCY3/PTK2/CCR1/PAK1",36
"Human Diseases","Immune disease","hsa05310","Asthma","13/686","32/9382",0.40625,5.55603134110787,7.2507469230534,1.44213937554058e-07,1.93487032885027e-06,1.37888764854318e-06,"FCER1G/HLA-DQB1/HLA-DMB/CD40/HLA-DPB1/IL10/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1",13
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","28/686","138/9382",0.202898550724638,2.77491866311742,5.89949572953433,5.79486939063664e-07,7.46379177513999e-06,5.31908011435279e-06,"RHOG/PYCARD/IL18/FCGR2A/LCP2/IL1B/WIPF1/FYB1/CD4/WAS/MAP2K3/NFKB1/CXCL8/RPS6KA1/NLRP3/ARPC1B/IL10/VAV1/MAPK13/TLR4/RAC2/ITGA4/DOCK1/TNF/RPS6KA2/ELMO1/NFATC1/PTK2",28
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","16/686","54/9382",0.296296296296296,4.05226217471115,6.31758808903611,8.5352946803099e-07,1.05706341809992e-05,7.53317506197392e-06,"HLA-E/HLA-C/HLA-B/CD86/HLA-F/HLA-DQB1/HLA-DMB/CD40/HLA-DPB1/IL10/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/HLA-DRA/HLA-DPA1",16
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","19/686","78/9382",0.243589743589744,3.33142707632504,5.80712462872845,2.25078741980851e-06,2.68427240436422e-05,1.91294993184505e-05,"ITGB2/CD14/C1QA/C1QC/C1QB/PYCARD/IL1B/LY96/NFKB1/CXCL8/NLRP3/IRF8/ITGAM/GNAI1/IL10/MAPK13/TLR4/IL1A/TNF",19
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","27/686","142/9382",0.190140845070423,2.60043937091939,5.39727160408285,3.44066366208829e-06,3.95676321140154e-05,2.81979202381672e-05,"GSTO1/HSP90AA1/CYBA/HSP90AB1/IL1B/THBD/DUSP1/KLF2/NFKB1/CTSL/PDGFB/NCF1/MEF2A/HMOX1/MAPK13/MMP9/MGST2/PRKCZ/PECAM1/RAC2/BCL2/IL1A/TNF/NCF2/ARHGEF2/MEF2C/PTK2",27
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","39/686","250/9382",0.156,2.13351603498542,5.10201324079714,4.65992956336077e-06,5.17412868759368e-05,3.68734898298602e-05,"BIN1/HLA-E/HSPA1A/HLA-C/HLA-B/FOLR2/HSPA6/FGFR2/CYTH1/WIPF1/SH3KBP1/HLA-F/ARRB2/ARRB1/SH3GL3/DAB2/ZFYVE16/RAB11FIP4/CYTH4/ARPC1B/DNAJC6/MVB12B/DNM3/DNM2/CXCR4/SH3GLB2/PLD1/PRKCZ/CHMP1B/LDLRAP1/SMAP2/EHD4/VPS26A/EHD1/GRK2/ARAP1/TFRC/RUFY2/AGAP1",39
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","20/686","91/9382",0.21978021978022,3.00579886585717,5.40012369453534,6.71616418397441e-06,7.20868289079919e-05,5.1372764635313e-05,"RASGRP3/LILRB4/GRB2/NFKB1/LYN/PIK3AP1/PRKCB/PTPN6/CD72/FCGR2B/VAV1/LILRB1/SYK/LILRB2/CD22/INPP5D/RAC2/NFKBIE/LILRB3/NFATC1",20
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","34/686","212/9382",0.160377358490566,2.19338247428351,4.93616625269404,1.03749763652917e-05,0.000107765883536255,7.67994854884068e-05,"RASGRP3/ITGB2/CSF1R/FGFR2/RAPGEF5/LCP2/FPR1/FYB1/MAP2K3/PDGFB/APBB1IP/NGFR/PRKCB/ITGAM/RASSF5/DOCK4/FLT1/GNAI1/VAV1/MAPK13/PRKCZ/RAC2/SIPA1/ADCY5/RAPGEF1/RAPGEF3/PLCB2/RAPGEF2/ADCY7/GNAO1/IGF1/FGF1/INSR/ADCY3",34
