"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","9/686","42/9382",0.214285714285714,2.93065389421075,3.52194437681492,0.00283125786986535,0.0144708735570896,0.0103126853071119,"ACSL1/CYBB/TF/FTL/HMOX1/NCOA4/SAT1/SLC11A2/TFRC",9
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","35/686","298/9382",0.11744966442953,1.60628681002602,2.9872704968253,0.0034643192474179,0.0171766382494605,0.0122409517436495,"CCL3/CSF1R/CCL4/IL18/TNFSF9/TNFRSF1B/CCL4L2/CCL3L1/IL1B/CD4/CCL20/IL1RN/CXCL16/IL10RA/CXCL8/LTBR/TNFSF13/CSF2RA/CSF3R/RELT/NGFR/CD40/IL4R/IL6R/CXCR4/OSM/IL10/CCR7/IL1A/INHBA/TNF/TNFRSF14/IL17RA/CCR1/TNFRSF11B",35
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","12/686","68/9382",0.176470588235294,2.41347967758532,3.2855098126963,0.00346733380812091,0.0171766382494605,0.0122409517436495,"CD14/BCL2A1/SPI1/CSF1R/FCGR1A/GRB2/NFKB1/ITGAM/CEBPA/CCND1/PPARD/DUSP6",12
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","19/686","133/9382",0.142857142857143,1.95376926280716,3.11134817388941,0.003599329358839,0.0174705375294778,0.0124503994162346,"HLA-E/HLA-C/HLA-B/ITGB2/FCGR3A/TYROBP/FCER1G/HCST/LCP2/GRB2/LAT2/PRKCB/PTPN6/VAV1/SYK/RAC2/TNF/NFATC1/PAK1",19
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","27/686","214/9382",0.126168224299065,1.72552519004932,3.01542784097253,0.00367722045541956,0.0174705375294778,0.0124503994162346,"HLA-E/B2M/HLA-C/HLA-B/TNFRSF1B/CD4/GNG7/MAP2K3/HLA-F/NFKB1/TLR2/AP1B1/PRKCB/CXCR4/GNAI1/MAPK13/TLR4/RAC2/BCL2/TNF/BCL2L1/CDK1/NFATC1/GNAO1/SAMHD1/PTK2/PAK1",27
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","23/686","173/9382",0.132947976878613,1.81824769544482,3.05090346523409,0.00368943028572824,0.0174705375294778,0.0124503994162346,"PYCARD/IL18/IL1B/NFKB1/HLA-DQB1/CXCL8/NLRP3/HLA-DMB/PRKCB/HLA-DPB1/TLR4/HLA-DMA/HLA-DQA1/HLA-DRB5/IL1A/HLA-DRB1/TNF/HLA-DRA/IRF7/HLA-DPA1/RSAD2/NXF1/TRIM25",23
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","16/686","105/9382",0.152380952380952,2.08402054699431,3.13729419286606,0.00381936256250703,0.0178236919583661,0.0127020753413659,"FCER1G/PYCARD/IL1B/CLEC7A/NFKB1/NLRP3/NFKB2/LSP1/IL10/SYK/MAPK13/PLK3/TNF/NFATC1/EGR2/PAK1",16
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","10/686","52/9382",0.192307692307692,2.63007400762503,3.31051098012423,0.0038994258968056,0.0179373591253058,0.0127830803835131,"APOC1/NPC2/LIPA/APOC2/LRP2/MYLIP/NPC1/CYP27A1/LDLRAP1/PLTP",10
NA,NA,"hsa04518","Integrin signaling","21/686","154/9382",0.136363636363636,1.8649615690432,3.03969661334552,0.00400152392829914,0.0181477564072158,0.0129330202575124,"SPP1/ITGB2/ITGAX/PARVG/FERMT3/PDGFB/ITGAM/COL9A3/FLT1/FLNB/COL1A2/RAC2/ITGA4/IBSP/LIMS1/CCND1/IGF1/ITGB5/PARVB/PTK2/COL4A5",21
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","19/686","137/9382",0.138686131386861,1.896724904769,2.96956555970576,0.00500750548608556,0.0223946773127715,0.0159595935082844,"CTSD/BCL2A1/CTSZ/CTSS/CTSC/LMNA/MCL1/NFKB1/CTSL/SEPTIN4/CTSB/CFLAR/PMAIP1/BCL2/TNF/BCL2L1/ERN1/EIF2AK3/PTPN13",19
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","17/686","120/9382",0.141666666666667,1.93748785228377,2.90289110054974,0.00622323562705774,0.0274504366015423,0.0195625863979609,"ARHGDIB/GRB2/NFKB1/RPS6KA1/SH2B3/NGFR/IRAK3/IRAK2/PSEN1/MAPK13/BCL2/NFKBIE/RAPGEF1/RPS6KA2/RIPK2/RPS6KA5/MAP3K3",17
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","25/686","203/9382",0.123152709359606,1.68428384724755,2.76830210381695,0.00691411199845664,0.0300857305878789,0.0214406318017574,"SPP1/GRB2/PARVG/PDGFB/PRKCB/COL9A3/FLT1/VAV1/FLNB/RASGRF1/COL1A2/RAC2/BCL2/ITGA4/IBSP/DOCK1/RAPGEF1/CCND1/IGF1/ITGB5/PARVB/EMP2/PTK2/PAK1/COL4A5",25
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","19/686","143/9382",0.132867132867133,1.81714204163184,2.7655400411355,0.0079431842586451,0.0341027377504496,0.024303356749258,"FCGR3A/C1QA/C1QC/C1QB/FCGR2A/FCGR1A/CD86/HLA-DQB1/HLA-DMB/CD40/HLA-DPB1/IL10/HLA-DMA/HLA-DQA1/HLA-DRB5/HLA-DRB1/TNF/HLA-DRA/HLA-DPA1",19
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","14/686","94/9382",0.148936170212766,2.03690838037343,2.83772344448821,0.00806098267892676,0.0341531108238739,0.024339255180139,"HSP90AA1/HSP90AB1/S100A9/S100A8/IL1B/FOSB/CCL20/NFKB1/CXCL8/MAPK13/MMP9/TNF/CEBPB/IL17RA",14
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","29/686","253/9382",0.114624505928854,1.56764885513776,2.57072300279499,0.0102655082578006,0.0429284890780751,0.0305930389637802,"CD14/PYCARD/IL18/UBB/CYTH1/IL1B/HCLS1/NFKB1/CXCL8/CYTH4/NLRP3/ARPC1B/NAIP/FNBP1/MAPK13/TLR4/UBE2D1/BCL2/SEPTIN6/DOCK1/TNF/BCL2L1/ARHGEF2/PLCB2/ELMO1/RIPK2/RPS6KA5/SEPTIN8/PTK2",29
"Metabolism","Lipid metabolism","hsa00565","Ether lipid metabolism","9/686","51/9382",0.176470588235294,2.41347967758532,2.84274184536858,0.0107375181398592,0.0443266774491625,0.0315894595747546,"ENPP2/PLPP2/UGT8/LPCAT2/GAL3ST1/PLD1/ENPP6/PLA2G4C/PLAAT3",9
