"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
5.30432213481617e-193,5.64697687540902,0.465,0.061,1.154220496536e-188,"CLDN11","Upregulated in Tumor"
1.05825670131983e-192,4.6940495873943,0.548,0.146,2.30276658207196e-188,"FCER1G","Upregulated in Tumor"
2.75432240635842e-192,6.3639844430686,0.436,0.04,5.99340555623593e-188,"MAG","Upregulated in Tumor"
5.34307387107245e-192,4.90993604487134,0.421,0.024,1.16265287434537e-187,"CD53","Upregulated in Tumor"
9.60728606974115e-192,3.05704033890355,0.516,0.083,2.09054544877567e-187,"EPB41L3","Upregulated in Tumor"
3.74932701457418e-191,5.08392588982023,0.472,0.066,8.15853558371342e-187,"GPR183","Upregulated in Tumor"
3.96371508282027e-191,4.35837580553998,0.518,0.112,8.62504402021691e-187,"AIF1","Upregulated in Tumor"
5.53033264145053e-190,5.15402801849012,0.589,0.186,1.20340038277964e-185,"CCL3","Upregulated in Tumor"
8.32614473588111e-189,4.95583878618143,0.419,0.027,1.81176909452773e-184,"SAMSN1","Upregulated in Tumor"
7.65849691372997e-188,6.06282331793904,0.392,0.012,1.66648892842764e-183,"CARNS1","Upregulated in Tumor"
7.856449735386e-188,5.06512161363964,0.543,0.149,1.70956346241999e-183,"C1QA","Upregulated in Tumor"
2.4636268685715e-187,3.93156606084288,0.517,0.112,5.36085206601158e-183,"TYMP","Upregulated in Tumor"
3.72597289083404e-187,6.02393174743015,0.407,0.023,8.10771701045486e-183,"MOG","Upregulated in Tumor"
1.81979728463488e-186,4.57197190076531,0.421,0.029,3.9598788913655e-182,"MSR1","Upregulated in Tumor"
5.74499177823462e-186,4.54723160506364,0.524,0.122,1.25011021094385e-181,"BCL2A1","Upregulated in Tumor"
7.42552362600778e-186,2.54743805616507,0.703,0.328,1.61579394101929e-181,"BAG3","Upregulated in Tumor"
8.01300284150271e-186,4.61682202289487,0.421,0.03,1.74362941831099e-181,"ARHGDIB","Upregulated in Tumor"
1.17956574848564e-185,3.56277614847413,0.468,0.058,2.56673506870475e-181,"DOCK10","Upregulated in Tumor"
2.18747058443454e-185,3.69880552818709,0.514,0.101,4.75993599172955e-181,"SCN1B","Upregulated in Tumor"
2.37692076707833e-185,1.71151436720189,0.797,0.463,5.17217958916245e-181,"ZEB2","Upregulated in Tumor"
7.60875940033648e-185,4.88864032938067,0.527,0.136,1.65566604551322e-180,"C1QC","Upregulated in Tumor"
1.17349508672215e-183,2.08143074377028,0.726,0.348,2.55352530870739e-179,"ELL2","Upregulated in Tumor"
1.62136702461676e-183,4.54321991491799,0.512,0.116,3.52809464556607e-179,"RGS1","Upregulated in Tumor"
4.73504555082604e-182,1.01166435560986,0.971,0.912,1.03034591185975e-177,"ATP6V0C","Upregulated in Tumor"
2.28968654545197e-181,4.88314035203143,0.408,0.028,4.98235792290348e-177,"CD37","Upregulated in Tumor"
3.63398010887272e-181,2.94275948529783,0.568,0.15,7.90754071690704e-177,"ANKH","Upregulated in Tumor"
1.30966983815563e-180,2.13389562331367,0.66,0.249,2.84984156782665e-176,"RHOG","Upregulated in Tumor"
1.99361820815989e-180,5.00446891925152,0.544,0.16,4.33811322095593e-176,"C1QB","Upregulated in Tumor"
1.16648479793777e-178,5.86572828891993,0.381,0.015,2.53827092031258e-174,"SPOCK3","Upregulated in Tumor"
3.71238546053481e-178,4.10234896054301,0.424,0.04,8.07815076212374e-174,"SLC11A1","Upregulated in Tumor"
1.52278872460694e-177,4.36131177772359,0.416,0.035,3.31358826474471e-173,"SPI1","Upregulated in Tumor"
5.94441435481794e-176,3.52181802497621,0.667,0.339,1.29350456360838e-171,"CTSZ","Upregulated in Tumor"
1.73768571879766e-175,5.92355330972344,0.401,0.032,3.78120412410371e-171,"ERMN","Upregulated in Tumor"
1.29115044657604e-174,3.45819581649167,0.452,0.059,2.80954337174945e-170,"SYNGR2","Upregulated in Tumor"
1.87194479255208e-174,5.73851926887683,0.377,0.017,4.07335186859333e-170,"PLPP2","Upregulated in Tumor"
5.39020391519341e-174,5.58188184718714,0.382,0.02,1.17290837194609e-169,"FOLR2","Upregulated in Tumor"
6.55695150800699e-174,1.95133802686834,0.88,0.705,1.42679264814232e-169,"NPC2","Upregulated in Tumor"
7.20766375963576e-174,4.61594188819304,0.407,0.034,1.56838763409674e-169,"HCST","Upregulated in Tumor"
1.36696844527055e-173,4.0784318445013,0.425,0.044,2.97452333690872e-169,"SLC31A2","Upregulated in Tumor"
2.89993893640948e-173,4.0500823338135,0.599,0.238,6.31026712562704e-169,"PLAUR","Upregulated in Tumor"
2.26625078682842e-172,2.95164078819456,0.495,0.093,4.93136171213864e-168,"TMC6","Upregulated in Tumor"
2.37108064517245e-172,1.83704351709857,0.936,0.787,5.15947148389525e-168,"KLF6","Upregulated in Tumor"
3.50423786045902e-172,5.65440592144965,0.376,0.018,7.62522158435882e-168,"MYRF","Upregulated in Tumor"
4.85133111563629e-172,3.86564685500264,0.741,0.505,1.05564965076246e-167,"SELENOP","Upregulated in Tumor"
2.0725479478909e-171,4.61056119769078,0.397,0.031,4.5098643346106e-167,"RGS10","Upregulated in Tumor"
4.59614956163513e-171,4.87561305024385,0.384,0.022,1.0001221446118e-166,"CSF1R","Upregulated in Tumor"
5.13675790532301e-171,4.50026206640653,0.409,0.039,1.11775852019829e-166,"CFD","Upregulated in Tumor"
5.83363882764566e-171,4.59900564292088,0.45,0.072,1.2693998088957e-166,"ALOX5AP","Upregulated in Tumor"
7.91455156868368e-171,2.25147258962437,0.605,0.191,1.72220642134557e-166,"MRPL41","Upregulated in Tumor"
4.1345384053043e-170,6.00104554551409,0.387,0.027,8.99675556994217e-166,"CAPN3","Upregulated in Tumor"
1.82105337847641e-169,3.53134760556742,0.52,0.139,3.96261215156467e-165,"METRNL","Upregulated in Tumor"
2.1735971176244e-169,5.17219397326934,0.369,0.016,4.72974732795069e-165,"LY86","Upregulated in Tumor"
4.77619602075478e-169,4.79635943284273,0.377,0.02,1.03930025411624e-164,"LAIR1","Upregulated in Tumor"
8.90636058261537e-169,5.2609126722692,0.358,0.01,1.9380240627771e-164,"MGMT","Upregulated in Tumor"
1.36313417725939e-168,4.93678070260406,0.369,0.016,2.96617996971643e-164,"SNCA","Upregulated in Tumor"
1.8277983290321e-168,3.89524505040232,0.656,0.307,3.97728916397384e-164,"MBP","Upregulated in Tumor"
1.11179149325694e-167,4.66381550365328,0.38,0.023,2.4192582893271e-163,"HAVCR2","Upregulated in Tumor"
2.49394368779989e-167,6.5501729874598,0.366,0.018,5.42682146465257e-163,"HAPLN2","Upregulated in Tumor"
2.82803617096765e-167,4.40141730152229,0.395,0.033,6.1538067080256e-163,"GMFG","Upregulated in Tumor"
5.46453174111967e-167,5.57038620834931,0.541,0.172,1.18908210686764e-162,"CCL4","Upregulated in Tumor"
1.02304580209529e-165,3.92552615812047,0.394,0.031,2.22614766535936e-161,"THEMIS2","Upregulated in Tumor"
1.03655417585565e-165,5.04461608849728,0.405,0.045,2.25554188666189e-161,"ANLN","Upregulated in Tumor"
3.23145416121336e-165,3.60270470344772,0.516,0.141,7.03164425480026e-161,"PIP4K2A","Upregulated in Tumor"
2.41172685137423e-164,3.85233477822114,0.459,0.088,5.24791762859032e-160,"CTSS","Upregulated in Tumor"
7.67561832649253e-164,1.27877980181589,0.953,0.804,1.67021454784478e-159,"HSPH1","Upregulated in Tumor"
7.87736166726892e-164,4.35464221482501,0.463,0.093,1.71411389879772e-159,"S100A9","Upregulated in Tumor"
8.32369433515488e-164,4.6272805751816,0.429,0.065,1.8112358873297e-159,"EFHD1","Upregulated in Tumor"
2.04609997833893e-163,5.93090100712872,0.347,0.01,4.4523135528655e-159,"ADAP1","Upregulated in Tumor"
2.44738914712604e-163,6.37084887004623,0.343,0.008,5.32551878414627e-159,"PCSK6","Upregulated in Tumor"
4.97804061568653e-163,2.03784280463988,0.84,0.556,1.08322163797339e-158,"HSPA6","Upregulated in Tumor"
1.02861018402632e-162,5.53246375797816,0.4,0.045,2.23825576044127e-158,"FGFR2","Upregulated in Tumor"
7.64120382933405e-162,3.43328535518534,0.422,0.05,1.66272595326309e-157,"CPM","Upregulated in Tumor"
1.19407932551302e-161,4.98288478726349,0.365,0.019,2.59831661231633e-157,"LYZ","Upregulated in Tumor"
1.23584323893419e-161,4.04540437031915,0.371,0.023,2.6891948879208e-157,"ENG","Upregulated in Tumor"
1.57595044841242e-161,5.9461562327841,0.349,0.012,3.42926817574544e-157,"ST18","Upregulated in Tumor"
1.97672006314389e-161,3.35955629933163,0.464,0.088,4.30134285740109e-157,"MAP3K8","Upregulated in Tumor"
5.25504144938567e-160,5.05398511313449,0.372,0.028,1.14349701938632e-155,"RAPGEF5","Upregulated in Tumor"
6.59577483592738e-160,4.59119388070283,0.372,0.026,1.4352406042978e-155,"PYCARD","Upregulated in Tumor"
2.11123677162571e-159,4.94678362789765,0.359,0.019,4.59405121505755e-155,"IL18","Upregulated in Tumor"
3.14527871577007e-159,2.3158821595474,0.58,0.189,6.84412648551568e-155,"OSTF1","Upregulated in Tumor"
3.57855924726361e-159,3.4366839316472,0.442,0.071,7.78694492204562e-155,"CLEC2B","Upregulated in Tumor"
5.21015012893531e-159,3.77775776263081,0.452,0.086,1.13372866805632e-154,"FCGR2A","Upregulated in Tumor"
5.73071893641706e-159,5.36587021927241,0.342,0.01,1.24700444056435e-154,"DOCK5","Upregulated in Tumor"
1.550578039262e-157,2.93044361484107,0.457,0.078,3.37405781343411e-153,"FRMD4B","Upregulated in Tumor"
3.20069295338314e-157,3.91272790842454,0.408,0.048,6.9647078665617e-153,"SLC6A6","Upregulated in Tumor"
1.11291135415533e-156,4.47605111263235,0.375,0.031,2.421695106642e-152,"ARRDC2","Upregulated in Tumor"
3.51512136542883e-156,5.69657178216413,0.341,0.013,7.64890409117314e-152,"CNTNAP4","Upregulated in Tumor"
5.47285289915572e-156,3.27700793334682,0.489,0.113,1.19089279085629e-151,"CDKN1C","Upregulated in Tumor"
1.64201569707453e-155,1.27653881271771,0.998,0.991,3.57302615683418e-151,"UBB","Upregulated in Tumor"
3.98818397563932e-155,4.00695254722532,0.388,0.04,8.67828833099116e-151,"C1orf162","Upregulated in Tumor"
6.98644582146698e-155,4.47170509692186,0.359,0.022,1.52025061075121e-150,"SLCO2B1","Upregulated in Tumor"
2.20013144377027e-153,5.85897724692885,0.338,0.015,4.7874860216441e-149,"HHATL","Upregulated in Tumor"
9.84766726074192e-153,4.07918597978351,0.411,0.062,2.14285239593744e-148,"C5AR1","Upregulated in Tumor"
2.00123031144798e-152,5.84863214700281,0.324,0.007,4.35467715771081e-148,"TNFSF9","Upregulated in Tumor"
1.39046384186479e-151,4.28134336181826,0.38,0.04,3.02564931989778e-147,"CORO1A","Upregulated in Tumor"
1.99345172974532e-151,4.55510129765165,0.411,0.067,4.33775096392582e-147,"CDK18","Upregulated in Tumor"
2.37076248907343e-151,5.43480725490662,0.46,0.117,5.15877917622378e-147,"PPP1R14A","Upregulated in Tumor"
4.26641897276145e-151,4.26780996478187,0.402,0.054,9.28372768472891e-147,"DUSP2","Upregulated in Tumor"
4.0610555375862e-150,4.7098238924503,0.343,0.018,8.83685684978758e-146,"LCP2","Upregulated in Tumor"
1.7726729467868e-148,4.22979778640128,0.366,0.034,3.85733633220807e-144,"TNFRSF1B","Upregulated in Tumor"
1.64249095398335e-147,4.12775317728871,0.338,0.018,3.57406031586776e-143,"SERPINA1","Upregulated in Tumor"
2.61805518908186e-147,2.75464859550188,0.482,0.114,5.69688809144214e-143,"LIPA","Upregulated in Tumor"
2.83608249418245e-147,4.08788297522397,0.486,0.144,6.17131550734101e-143,"TMEM144","Upregulated in Tumor"
5.96596699728301e-147,4.10294423243625,0.372,0.039,1.29819441860878e-142,"SERPINB9","Upregulated in Tumor"
2.82198231619018e-146,3.9995183294079,0.388,0.052,6.14063352002983e-142,"LST1","Upregulated in Tumor"
3.31188461773057e-146,1.81107537130102,0.693,0.341,7.20666092818172e-142,"JMJD1C","Upregulated in Tumor"
8.11886890440409e-146,2.61056833074672,0.619,0.283,1.76666587359833e-141,"LGMN","Upregulated in Tumor"
1.59779553406143e-145,1.94447634612585,0.673,0.338,3.47680308211768e-141,"STX4","Upregulated in Tumor"
1.77686418532261e-145,4.64901686761666,0.378,0.048,3.86645646726201e-141,"CNTN2","Upregulated in Tumor"
