"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","TF"
1.63682719995512e-267,3.21666337769923,0.771,0.352,4.43580171187837e-265,"CDX2"
1.28623234358387e-220,1.00779752197173,1,0.935,3.4856896511123e-218,"GATA4"
4.48291711005404e-209,1.79106915493235,0.949,0.632,1.21487053682465e-206,"MBD2"
8.90296399066493e-190,5.78402134768095,0.741,0.32,2.4127032414702e-187,"FOXO1"
1.35383420289891e-161,2.88795341916685,0.758,0.382,3.66889068985605e-159,"HNF4A"
7.00455457147531e-158,2.5042740154853,0.702,0.306,1.89823428886981e-155,"IRF1"
1.00125996600157e-125,5.93937570269051,0.568,0.279,2.71341450786427e-123,"ATF2"
6.80885969998921e-119,3.6885933725058,0.629,0.315,1.84520097869708e-116,"VDR"
6.2064940808527e-116,6.63012908602003,0.576,0.242,1.68195989591108e-113,"FOS"
3.28126954230247e-114,4.49072691901137,0.512,0.201,8.89224045963969e-112,"FOXL2"
6.4485003339495e-111,6.68277375200596,0.593,0.284,1.74754359050031e-108,"CREB1"
9.79284671772361e-108,5.63137690996881,0.598,0.307,2.6538614605031e-105,"KLF4"
5.9651585210673e-107,4.63950693478149,0.643,0.392,1.61655795920924e-104,"RXRA"
5.46914012480979e-97,0.512008010913667,1,1,1.48213697382345e-94,"NR5A1"
4.56070733123271e-91,2.92167903251854,0.609,0.326,1.23595168676406e-88,"E2F3"
3.06304252214071e-86,1.21045653731124,0.79,0.506,8.30084523500132e-84,"GLI2"
1.29316850768669e-84,2.06147199806595,0.54,0.276,3.50448665583094e-82,"CEBPB"
4.97224688003343e-78,2.30372502570424,0.041,0.107,1.34747890448906e-75,"E2F4"
3.47343308428815e-60,1.30780066149759,0.643,0.407,9.41300365842088e-58,"ZEB1"
4.5924410007836e-55,4.43608475807189,0.523,0.391,1.24455151121236e-52,"RFX5"
4.3657025275526e-51,0.66712885802384,0.924,0.751,1.18310538496675e-48,"ZNF274"
5.24087527630984e-50,1.41267137011463,0.726,0.533,1.42027719987997e-47,"TCF7L2"
6.86870882285079e-45,4.63228048299368,0.517,0.205,1.86142009099256e-42,"RELA"
3.07072089089628e-44,3.32788437566564,0.588,0.459,8.32165361432892e-42,"SP3"
2.88647169880014e-43,2.99538832900676,0.542,0.376,7.82233830374837e-41,"FLI1"
4.55880671913047e-42,4.11095859798093,0.54,0.302,1.23543662088436e-39,"NFKB1"
1.17660012389924e-41,1.91430565279769,0.538,0.37,3.18858633576694e-39,"WT1"
2.22112278240077e-40,0.571887306318843,1,0.997,6.01924274030608e-38,"SOX9"
7.22348484324945e-39,0.875648042102945,0.719,0.538,1.9575643925206e-36,"NR5A2"
3.06348824064063e-37,4.30636207718789,0.56,0.341,8.30205313213612e-35,"ETV4"
2.78408592583768e-35,0.486864650976319,0.922,0.747,7.54487285902011e-33,"HNF1A"
1.08414989453964e-32,1.4857118950996,0.872,0.931,2.93804621420244e-30,"ERG"
1.26083144802234e-32,2.51330254932685,0.511,0.35,3.41685322414055e-30,"STAT6"
2.88663219052538e-30,0.887970851412326,0.958,0.955,7.82277323632378e-28,"THAP11"
1.8140740069247e-28,1.06114857786442,0.484,0.35,4.91614055876593e-26,"PRDM14"
2.96591098757202e-27,1.40684588952955,0.888,0.875,8.03761877632017e-25,"ZNF639"
2.83220398627909e-22,1.67969809462892,0.514,0.403,7.67527280281633e-20,"RELB"
1.88353202392063e-18,1.10589136401573,0.587,0.469,5.10437178482491e-16,"MITF"
1.66400572533572e-16,0.675793624713874,0.586,0.489,4.50945551565981e-14,"FOXM1"
7.63182171091602e-15,1.53234307574665,0.355,0.294,2.06822368365824e-12,"MYCN"
1.57170295172339e-14,0.33880903873407,0.667,0.548,4.25931499917039e-12,"FOXA1"
4.22254153559003e-14,0.620388024282814,0.633,0.537,1.1443087561449e-11,"GATA1"
4.17674836330212e-11,1.34290439137413,0.624,0.569,1.13189880645487e-08,"MYB"
3.01886766924569e-07,0.951044178276158,0.544,0.457,8.18113138365582e-05,"JUN"
1.68488339057644e-06,0.741532009027109,0.379,0.365,0.000456603398846216,"TFDP1"
0.0103611594173155,1.31897713127117,0.523,0.554,1,"PAX8"
0.0528076856624162,0.893162192803796,0.367,0.397,1,"PGR"
0.174405377374158,0.435317604973606,0.435,0.427,1,"ESR1"
