"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","Significance"
6.14784822152321e-18,-1.15781840974749,0.079,0.172,1.33777177300345e-13,"PRH1","Downregulated in Tumor"
6.50021134847503e-18,-1.2571603939592,0.054,0.137,1.41444598942817e-13,"ZNF507","Downregulated in Tumor"
7.21833169007692e-18,-1.1237729786815,0.071,0.16,1.57070897576074e-13,"TBL1X","Downregulated in Tumor"
7.39031793585921e-18,-1.01361494807071,0.101,0.202,1.60813318284296e-13,"PRKAB2","Downregulated in Tumor"
7.69591733228742e-18,-1.26057326330423,0.055,0.137,1.67463161150574e-13,"ENKD1","Downregulated in Tumor"
8.07239740642665e-18,-1.28708829032451,0.056,0.138,1.75655367563844e-13,"SLC5A6","Downregulated in Tumor"
8.32364509593922e-18,-1.27784544141401,0.057,0.14,1.81122517287637e-13,"TRAPPC2","Downregulated in Tumor"
8.65612903071394e-18,-1.22001705803128,0.059,0.143,1.88357367708335e-13,"RHNO1","Downregulated in Tumor"
9.27411010165569e-18,-1.645132346462,0.033,0.103,2.01804635812028e-13,"B3GNT9","Downregulated in Tumor"
9.32043446345184e-18,-1.24141016041099,0.062,0.147,2.02812653924712e-13,"EXOG","Downregulated in Tumor"
9.56768936782901e-18,-1.11927935877873,0.085,0.179,2.08192920643959e-13,"ASB6","Downregulated in Tumor"
9.74392004320165e-18,-1.48812857195858,0.042,0.118,2.12027700140068e-13,"ZNF383","Downregulated in Tumor"
1.00918732276648e-17,-1.25080885841323,0.06,0.145,2.19599161433985e-13,"WDR36","Downregulated in Tumor"
1.02987077812213e-17,-1.45697550559218,0.044,0.12,2.24099881319376e-13,"ZNF777","Downregulated in Tumor"
1.06014339817175e-17,-1.38413325021696,0.048,0.127,2.30687203442172e-13,"GMDS-DT","Downregulated in Tumor"
1.21395061823491e-17,-1.17477944144735,0.071,0.16,2.64155654527917e-13,"SLC25A12","Downregulated in Tumor"
1.22785598435114e-17,-1.01345334683381,0.087,0.183,2.67181462194808e-13,"C5orf51","Downregulated in Tumor"
1.28842425161978e-17,-1.59161683713499,0.036,0.108,2.80361117152464e-13,"CPT2","Downregulated in Tumor"
1.2929390984297e-17,-1.10103110146604,0.083,0.176,2.81343547818304e-13,"TAF6L","Downregulated in Tumor"
1.38546126159429e-17,-1.13053581412186,0.084,0.176,3.01476370522918e-13,"CLASP1","Downregulated in Tumor"
