"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,-5.10572215508496,0.102,0.891,0,"PTPRZ1"
0,-5.24244887918073,0.057,0.842,0,"GPM6A"
0,-5.09925678088149,0.106,0.89,0,"GAP43"
0,-5.54786803791589,0.041,0.801,0,"CHL1"
0,-4.22297497275192,0.098,0.855,0,"MEG3"
0,-5.77029313276182,0.055,0.807,0,"TNC"
0,-4.36083358905466,0.069,0.801,0,"NRCAM"
0,-5.37680159504561,0.048,0.764,0,"EGFR"
0,-3.68736750078739,0.146,0.851,0,"SPARCL1"
0,-5.14205939427977,0.153,0.85,0,"FABP7"
0,-5.15206323186564,0.073,0.766,0,"F3"
0,-3.62549880574162,0.11,0.802,0,"C1R"
0,-6.33785052090992,0.052,0.743,0,"AQP4"
0,-3.4431180904341,0.117,0.803,0,"RCN1"
0,-4.05555743473915,0.15,0.834,0,"ID4"
0,-3.68924883525201,0.182,0.863,0,"ACTN1"
0,-1.86048540182996,0.18,0.86,0,"IGFBP7"
0,-3.43249277667015,0.189,0.865,0,"IGFBP2"
0,-3.04922188175526,0.15,0.822,0,"CCN1"
0,-5.56958819519242,0.074,0.743,0,"MGST1"
0,-5.14983835776827,0.073,0.741,0,"TCIM"
0,-4.63267161050051,0.132,0.791,0,"TMEM158"
0,-4.05287735317448,0.074,0.732,0,"DPYSL3"
0,-4.14104625319622,0.315,0.971,0,"CNN3"
0,-3.58050948156977,0.121,0.763,0,"CHPT1"
0,-4.26315396952698,0.06,0.692,0,"SOX9"
0,-2.27141293453846,0.325,0.956,0,"CALD1"
0,-5.46558448239044,0.063,0.691,0,"BCAN"
0,-4.60615637920399,0.037,0.66,0,"PDLIM4"
0,-4.8336246694697,0.293,0.913,0,"ITM2C"
0,-6.48993119832033,0.128,0.748,0,"CHI3L2"
0,-3.1099368845686,0.221,0.838,0,"INAFM1"
0,-2.93896779193837,0.226,0.84,0,"FAM3C"
0,-5.03976581326617,0.042,0.656,0,"OLFM2"
0,-3.21291580037324,0.051,0.664,0,"C1S"
0,-3.45838762619757,0.155,0.763,0,"DTNA"
0,-3.61428475894149,0.11,0.717,0,"CPE"
0,-4.50463474288979,0.059,0.662,0,"HEY1"
0,-3.00694125762873,0.319,0.922,0,"NOVA1"
0,-5.7415641757814,0.022,0.62,0,"DCLK1"
0,-3.84574982961534,0.066,0.66,0,"AEBP1"
0,-4.10634788860804,0.059,0.653,0,"FHL1"
